no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,income_to_loan_ratio,total_assets
1,0,0,6900000,22500000,18,403,800000,8400000,16900000,6300000,0.30666666666666664,26100000
4,0,1,6100000,15300000,14,573,1100000,9900000,13300000,8400000,0.39869281045751637,24300000
1,0,0,6300000,17200000,12,714,10100000,4200000,24700000,8500000,0.36627906976744184,39000000
5,0,1,4200000,8700000,6,583,6000000,800000,8500000,2500000,0.4827586206896552,15300000
5,1,1,1900000,4900000,4,442,3200000,2100000,5800000,900000,0.3877551020408163,11100000
5,1,0,3200000,10100000,6,828,8500000,6000000,8700000,3000000,0.31683168316831684,23200000
2,1,1,2300000,9000000,6,583,3600000,1300000,6900000,3400000,0.25555555555555554,11800000
1,1,0,3500000,12700000,4,350,5200000,6800000,12900000,1800000,0.2755905511811024,24900000
0,0,0,7400000,24900000,20,648,7100000,7900000,23300000,6200000,0.2971887550200803,38300000
4,0,1,2700000,10400000,16,671,6100000,3700000,5600000,4000000,0.25961538461538464,15400000
1,1,1,4400000,16600000,18,385,800000,5300000,13400000,5100000,0.26506024096385544,19500000
3,1,1,6000000,21300000,4,802,4700000,8900000,17300000,7600000,0.28169014084507044,30900000
5,1,0,5800000,22200000,16,884,1200000,4800000,19500000,8500000,0.26126126126126126,25500000
5,0,0,9000000,25900000,4,538,11100000,11100000,31300000,8100000,0.3474903474903475,53500000
3,0,0,8200000,30700000,8,467,18200000,3300000,23300000,7900000,0.2671009771986971,44800000
0,0,1,8200000,29700000,6,405,3900000,800000,23900000,5700000,0.2760942760942761,28600000
1,1,1,5300000,18500000,6,501,6700000,8600000,16600000,4300000,0.2864864864864865,31900000
4,1,0,3800000,14100000,8,727,3900000,4900000,8200000,5400000,0.2695035460992908,17000000
1,0,0,1900000,6000000,20,540,1100000,1400000,4300000,1300000,0.31666666666666665,6800000
1,1,0,2700000,9400000,18,704,5300000,2300000,6400000,2400000,0.2872340425531915,14000000
1,0,0,2600000,9900000,6,594,2900000,4300000,6700000,2500000,0.26262626262626265,13900000
3,0,1,4100000,14700000,6,679,6600000,3700000,10500000,5600000,0.2789115646258503,20800000
2,1,1,6100000,22300000,10,733,12100000,9700000,17200000,5600000,0.273542600896861,39000000
3,1,0,1300000,3600000,16,624,2400000,2300000,3300000,1900000,0.3611111111111111,8000000
3,0,0,7200000,27900000,12,473,21100000,8800000,27800000,8700000,0.25806451612903225,57700000
1,0,0,9300000,28600000,14,656,17300000,9100000,27400000,12500000,0.32517482517482516,53800000
3,1,0,700000,1600000,20,705,600000,900000,2300000,700000,0.4375,3800000
2,1,0,4700000,14600000,20,597,8200000,6000000,14100000,6800000,0.3219178082191781,28300000
3,0,1,400000,1100000,6,711,100000,300000,1400000,100000,0.36363636363636365,1800000
5,1,1,6500000,18900000,12,427,5100000,1900000,18200000,7800000,0.3439153439153439,25200000
4,0,1,5500000,14800000,10,354,16000000,3400000,21200000,7700000,0.3716216216216216,40600000
1,0,0,6600000,24800000,4,500,8600000,4100000,16700000,6100000,0.2661290322580645,29400000
2,1,1,9600000,28100000,20,763,23000000,11800000,27500000,10300000,0.3416370106761566,62300000
3,1,1,3300000,12700000,16,608,3600000,6200000,12600000,4500000,0.25984251968503935,22400000
2,0,0,9400000,25100000,20,832,19400000,2100000,22300000,5900000,0.3745019920318725,43800000
5,0,1,1600000,4100000,2,748,1400000,1000000,4200000,1000000,0.3902439024390244,6600000
0,1,1,4900000,11900000,16,709,14600000,900000,18500000,3800000,0.4117647058823529,34000000
0,0,1,2900000,9700000,2,820,6700000,1600000,9100000,3900000,0.29896907216494845,17400000
1,1,0,8300000,29200000,6,877,13700000,9900000,31500000,9500000,0.2842465753424658,55100000
2,0,1,7400000,27300000,18,561,12600000,400000,27100000,9600000,0.27106227106227104,40100000
0,1,1,7000000,24600000,6,542,6400000,2600000,24500000,4700000,0.2845528455284553,33500000
4,0,0,6500000,14500000,4,588,10300000,9500000,22800000,6400000,0.4482758620689655,42600000
4,1,1,6400000,23500000,2,485,7300000,2700000,23600000,3900000,0.2723404255319149,33600000
2,1,1,7400000,28200000,8,376,21900000,5000000,17400000,5200000,0.2624113475177305,44300000
0,1,1,9400000,35500000,16,592,9300000,11800000,30500000,5800000,0.2647887323943662,51600000
3,0,1,9800000,28400000,12,487,8900000,15400000,30800000,11100000,0.34507042253521125,55100000
1,1,0,9000000,28200000,16,327,1700000,2300000,24000000,11200000,0.3191489361702128,28000000
3,0,1,3300000,8500000,12,586,7500000,5100000,7800000,3900000,0.38823529411764707,20400000
5,0,0,9000000,24200000,4,646,12400000,5500000,18100000,11900000,0.371900826446281,36000000
0,1,0,5000000,10700000,16,726,1600000,1100000,15700000,4800000,0.4672897196261682,18400000
3,1,1,8500000,27700000,4,457,3600000,400000,18900000,5200000,0.30685920577617326,22900000
0,0,1,8600000,29400000,16,643,1000000,14100000,33000000,12300000,0.2925170068027211,48100000
0,1,1,8100000,23800000,10,794,5400000,15500000,20700000,8800000,0.3403361344537815,41600000
5,0,0,6400000,21500000,16,728,300000,5200000,17400000,9600000,0.29767441860465116,22900000
5,1,0,8500000,23400000,16,604,25100000,16500000,24500000,4800000,0.36324786324786323,66100000
3,1,1,3100000,11400000,16,562,3600000,3600000,7200000,3100000,0.2719298245614035,14400000
4,1,0,7200000,18900000,16,371,6600000,14100000,18900000,4900000,0.38095238095238093,39600000
3,0,1,8900000,18500000,10,367,6100000,0,32000000,10300000,0.4810810810810811,38100000
2,0,1,4800000,13200000,20,310,11800000,4600000,12900000,4200000,0.36363636363636365,29300000
0,1,0,4500000,17100000,8,303,7400000,8200000,17400000,4200000,0.2631578947368421,33000000
4,0,0,8700000,32100000,8,397,8900000,17000000,34700000,4800000,0.27102803738317754,60600000
3,1,0,8500000,30800000,14,745,11000000,8200000,19400000,7200000,0.275974025974026,38600000
1,0,1,9000000,33500000,2,748,7900000,9800000,25700000,11500000,0.26865671641791045,43400000
3,0,0,2500000,9300000,4,810,2700000,3300000,9400000,3700000,0.26881720430107525,15400000
2,0,1,900000,3500000,6,763,2300000,300000,2000000,600000,0.2571428571428571,4600000
4,1,0,5500000,12300000,6,742,12900000,2700000,19800000,4300000,0.44715447154471544,35400000
1,0,1,6400000,17300000,10,879,10000000,1100000,15400000,8200000,0.3699421965317919,26500000
2,0,0,7000000,24200000,8,833,13700000,4100000,26100000,9100000,0.2892561983471074,43900000
4,1,0,400000,900000,18,339,700000,200000,800000,200000,0.4444444444444444,1700000
4,1,0,5700000,19600000,8,691,8800000,2200000,12100000,3000000,0.29081632653061223,23100000
1,1,0,900000,3500000,18,395,2500000,800000,3000000,1300000,0.2571428571428571,6300000
2,0,1,2700000,9500000,10,434,2700000,1500000,8100000,1800000,0.28421052631578947,12300000
1,0,1,5400000,19500000,18,688,12100000,800000,17000000,3500000,0.27692307692307694,29900000
3,1,1,9900000,26700000,10,550,22200000,15900000,36800000,6600000,0.3707865168539326,74900000
4,0,0,5600000,12000000,4,719,5600000,2900000,14500000,3400000,0.4666666666666667,23000000
5,0,0,4200000,12500000,18,723,1200000,300000,12900000,6100000,0.336,14400000
0,1,0,7300000,28200000,16,486,15300000,8800000,16400000,7700000,0.25886524822695034,40500000
5,0,1,2400000,8700000,18,877,2800000,2900000,7100000,1100000,0.27586206896551724,12800000
1,1,1,9400000,29800000,10,377,24100000,18500000,30900000,11700000,0.31543624161073824,73500000
3,0,0,8600000,23600000,4,324,13800000,3800000,28500000,4300000,0.3644067796610169,46100000
4,1,0,7600000,23900000,8,672,2500000,1600000,20200000,6700000,0.3179916317991632,24300000
2,1,1,8400000,20800000,12,335,6700000,12300000,18500000,10100000,0.40384615384615385,37500000
4,0,0,1800000,7000000,14,743,2600000,1000000,4500000,1500000,0.2571428571428571,8100000
2,1,1,2700000,9400000,14,701,400000,3400000,9900000,1900000,0.2872340425531915,13700000
1,1,0,7800000,21300000,10,326,22800000,10700000,18500000,4500000,0.36619718309859156,52000000
0,0,0,6200000,20100000,20,345,9300000,5900000,17400000,4100000,0.30845771144278605,32600000
2,0,0,5200000,13500000,2,777,7000000,5200000,15500000,6100000,0.3851851851851852,27700000
3,1,0,8300000,24100000,14,823,5900000,700000,24000000,7700000,0.34439834024896265,30600000
3,0,1,7500000,25100000,18,554,12500000,7900000,28500000,4700000,0.29880478087649404,48900000
0,1,1,1800000,3700000,2,505,3900000,2400000,4500000,1400000,0.4864864864864865,10800000
5,0,1,7100000,20100000,4,700,16900000,2900000,15600000,4500000,0.35323383084577115,35400000
4,0,0,1300000,4600000,10,312,1800000,600000,3100000,800000,0.2826086956521739,5500000
5,1,0,600000,2300000,4,347,0,0,1900000,200000,0.2608695652173913,1900000
4,0,0,700000,2600000,14,736,2100000,600000,1900000,400000,0.2692307692307692,4600000
0,1,0,3100000,10100000,14,376,6400000,2600000,11600000,4300000,0.3069306930693069,20600000
0,0,0,8600000,20900000,10,813,11300000,11900000,26000000,4800000,0.41148325358851673,49200000
4,1,0,8800000,19100000,6,586,17600000,8800000,20600000,12400000,0.4607329842931937,47000000
5,1,0,9700000,37000000,14,459,28700000,17900000,22800000,5600000,0.26216216216216215,69400000
5,0,0,2600000,9100000,8,852,3700000,700000,10300000,3300000,0.2857142857142857,14700000
2,1,1,2500000,7200000,16,315,5500000,3300000,4900000,2800000,0.3472222222222222,13700000
5,0,0,4400000,15800000,4,701,4100000,6300000,17100000,4100000,0.27848101265822783,27500000
5,0,1,6500000,24100000,6,441,14100000,9600000,15300000,5200000,0.2697095435684647,39000000
2,1,1,5000000,19500000,14,775,3100000,4700000,9900000,6500000,0.2564102564102564,17700000
2,1,1,4600000,18400000,2,555,7700000,2400000,14200000,4200000,0.25,24300000
2,1,0,5400000,11900000,6,303,15000000,9200000,15400000,6900000,0.453781512605042,39600000
4,0,0,9400000,32600000,4,898,18200000,4000000,22000000,10200000,0.2883435582822086,44200000
0,0,1,1800000,5200000,16,317,4900000,1500000,4000000,1300000,0.34615384615384615,10400000
4,0,0,7300000,14900000,2,358,13600000,12300000,20400000,7300000,0.4899328859060403,46300000
1,0,1,7500000,19900000,10,669,1800000,8800000,18100000,7300000,0.3768844221105528,28700000
1,0,0,1800000,5400000,4,415,4400000,2000000,5600000,1800000,0.3333333333333333,12000000
2,0,1,8400000,32600000,10,384,13900000,1600000,21600000,7000000,0.25766871165644173,37100000
1,1,0,3900000,12300000,10,683,1000000,700000,11700000,2400000,0.3170731707317073,13400000
2,1,1,4500000,12500000,12,418,400000,4300000,12400000,4300000,0.36,17100000
3,1,1,7000000,26100000,18,689,17200000,5700000,20500000,5900000,0.2681992337164751,43400000
3,1,1,2500000,7700000,10,768,4500000,400000,8000000,2600000,0.3246753246753247,12900000
5,1,0,2500000,8800000,10,769,3700000,1600000,8200000,2700000,0.2840909090909091,13500000
0,0,1,5900000,15200000,16,399,15200000,3200000,12200000,6500000,0.3881578947368421,30600000
4,0,0,2200000,6100000,12,330,5500000,2900000,5000000,2200000,0.36065573770491804,13400000
4,1,0,2400000,7300000,4,540,2500000,300000,7800000,2200000,0.3287671232876712,10600000
4,0,0,3800000,8500000,10,416,6200000,4800000,14900000,4100000,0.4470588235294118,25900000
5,0,0,8100000,25300000,8,796,15900000,12600000,21500000,7800000,0.3201581027667984,50000000
4,1,0,1100000,3300000,18,417,1400000,1000000,4200000,700000,0.3333333333333333,6600000
5,1,1,6000000,12100000,20,848,13900000,4800000,18000000,3600000,0.49586776859504134,36700000
1,1,0,8600000,31500000,16,678,19700000,13400000,22200000,5300000,0.273015873015873,55300000
1,0,0,3900000,8000000,6,448,100000,1900000,9800000,4000000,0.4875,11800000
3,0,0,7000000,19500000,14,719,12200000,10300000,18200000,10200000,0.358974358974359,40700000
4,0,1,7800000,25600000,4,665,1000000,2300000,27300000,8200000,0.3046875,30600000
4,1,0,2700000,6100000,16,677,100000,3300000,6500000,3800000,0.4426229508196721,9900000
2,0,1,7500000,15100000,8,488,19800000,0,28500000,6700000,0.4966887417218543,48300000
3,0,1,1400000,5400000,20,304,1700000,1300000,2900000,800000,0.25925925925925924,5900000
1,0,1,6400000,16400000,20,555,6000000,2500000,20100000,7400000,0.3902439024390244,28600000
1,1,1,2800000,9100000,14,510,2400000,4200000,10400000,3000000,0.3076923076923077,17000000
2,1,0,9700000,30200000,14,769,23700000,13600000,26400000,7500000,0.3211920529801324,63700000
1,1,1,400000,1300000,18,801,100000,0,1500000,600000,0.3076923076923077,1600000
1,0,0,700000,1400000,6,759,1000000,500000,2600000,700000,0.5,4100000
0,1,1,2300000,6200000,8,712,6800000,1700000,8800000,1500000,0.3709677419354839,17300000
4,1,0,5600000,13300000,20,869,3300000,7500000,20000000,6500000,0.42105263157894735,30800000
0,1,1,5100000,11600000,10,308,8700000,1300000,10700000,7000000,0.4396551724137931,20700000
4,0,1,5900000,11800000,8,479,11000000,1200000,15700000,3900000,0.5,27900000
3,0,0,7400000,18500000,8,818,10400000,8800000,28000000,8400000,0.4,47200000
2,1,1,2500000,7200000,16,454,4200000,1000000,7100000,2100000,0.3472222222222222,12300000
0,0,0,2900000,9800000,16,395,5400000,4300000,8600000,2400000,0.29591836734693877,18300000
1,1,1,6800000,16800000,10,736,2000000,2600000,23800000,5600000,0.40476190476190477,28400000
3,0,0,3400000,8900000,6,896,4200000,4800000,10200000,4200000,0.38202247191011235,19200000
2,1,1,2700000,5700000,8,850,3500000,5000000,10500000,3900000,0.47368421052631576,19000000
1,1,1,800000,2800000,16,726,2000000,1300000,3100000,1200000,0.2857142857142857,6400000
1,0,0,7900000,15800000,8,551,800000,3500000,18700000,8300000,0.5,23000000
0,0,0,1400000,5500000,6,393,500000,1500000,5400000,1800000,0.2545454545454545,7400000
3,1,1,4200000,14600000,6,679,2400000,6900000,8700000,4900000,0.2876712328767123,18000000
1,0,0,8200000,17500000,4,609,4500000,5600000,24100000,7700000,0.4685714285714286,34200000
1,1,1,4800000,11600000,16,696,1400000,9400000,11800000,6500000,0.41379310344827586,22600000
4,1,1,4000000,11000000,8,791,500000,4700000,10300000,3000000,0.36363636363636365,15500000
0,0,0,4700000,15200000,10,786,11100000,8000000,9600000,3200000,0.3092105263157895,28700000
2,1,0,5300000,20200000,10,348,9200000,9500000,17300000,6100000,0.2623762376237624,36000000
4,1,1,3300000,10600000,8,465,500000,4400000,7300000,2800000,0.3113207547169811,12200000
4,1,0,8600000,20900000,10,867,24300000,7200000,23700000,9900000,0.41148325358851673,55200000
2,0,1,5900000,14200000,12,499,9200000,11600000,20200000,4400000,0.4154929577464789,41000000
4,0,0,5800000,14000000,16,530,3800000,11300000,22200000,5400000,0.4142857142857143,37300000
4,1,0,2300000,5500000,6,343,-100000,4100000,4800000,3200000,0.41818181818181815,8800000
2,0,0,5200000,16200000,12,890,10500000,9600000,15800000,3900000,0.32098765432098764,35900000
3,1,1,9500000,25500000,12,881,27000000,14100000,21600000,8900000,0.37254901960784315,62700000
5,0,1,8800000,21300000,14,852,8000000,6400000,28500000,9900000,0.4131455399061033,42900000
4,0,1,1900000,6800000,6,559,3600000,2200000,6200000,1200000,0.27941176470588236,12000000
2,1,1,5100000,13300000,14,313,5900000,7900000,18000000,3900000,0.38345864661654133,31800000
1,0,0,6300000,22000000,20,646,9500000,7900000,13500000,5500000,0.2863636363636364,30900000
2,0,1,7000000,14900000,20,495,9900000,8800000,14000000,10200000,0.4697986577181208,32700000
3,0,1,6800000,23900000,12,565,18800000,2800000,18800000,6700000,0.28451882845188287,40400000
5,1,0,4100000,12300000,6,582,10900000,6100000,14100000,3500000,0.3333333333333333,31100000
3,0,1,4400000,10000000,8,875,5900000,5200000,11700000,4100000,0.44,22800000
3,1,1,6900000,17900000,18,494,7700000,11200000,15400000,8700000,0.3854748603351955,34300000
1,1,1,2300000,6400000,8,578,3600000,1800000,7000000,3000000,0.359375,12400000
3,1,1,6800000,26900000,16,818,14700000,10400000,26300000,7300000,0.2527881040892193,51400000
2,0,0,3400000,12900000,14,857,3400000,2500000,8700000,1900000,0.26356589147286824,14600000
1,0,1,3400000,12300000,8,523,6100000,4700000,8300000,2600000,0.2764227642276423,19100000
4,0,1,2900000,8300000,10,318,8700000,4100000,10900000,2100000,0.3493975903614458,23700000
4,0,1,1500000,5800000,2,304,2400000,1600000,3300000,1400000,0.25862068965517243,7300000
3,1,1,8500000,26100000,2,683,6600000,10400000,24100000,5700000,0.32567049808429116,41100000
0,1,0,500000,1900000,2,857,1100000,500000,1800000,300000,0.2631578947368421,3400000
4,0,1,2500000,8400000,12,761,6300000,1300000,8400000,1600000,0.2976190476190476,16000000
4,0,0,5900000,14400000,6,745,15300000,5100000,16500000,3000000,0.4097222222222222,36900000
0,0,1,6100000,19200000,6,890,13900000,5900000,16700000,7600000,0.3177083333333333,36500000
4,1,1,5900000,15000000,14,626,16400000,4600000,17600000,8200000,0.3933333333333333,38600000
4,0,1,9700000,25000000,4,542,9800000,12000000,29300000,13400000,0.388,51100000
5,0,0,1300000,2700000,6,607,800000,1500000,4700000,1600000,0.48148148148148145,7000000
1,1,1,3200000,8100000,10,670,9100000,3800000,9200000,1900000,0.3950617283950617,22100000
3,1,1,1800000,5700000,14,670,5300000,3100000,3500000,2700000,0.3157894736842105,11900000
0,0,1,700000,1400000,10,618,1300000,200000,1700000,500000,0.5,3200000
0,0,1,7400000,15200000,12,600,6200000,8500000,18800000,4100000,0.4868421052631579,33500000
1,0,1,200000,400000,20,882,400000,100000,300000,0,0.5,800000
1,0,0,5400000,17900000,14,727,13100000,0,12300000,4700000,0.3016759776536313,25400000
1,0,1,5500000,12100000,4,350,6300000,9200000,17200000,6900000,0.45454545454545453,32700000
4,0,1,2900000,10500000,8,607,4400000,5500000,7600000,3800000,0.2761904761904762,17500000
1,0,1,6800000,17600000,14,344,5500000,5600000,18100000,7700000,0.38636363636363635,29200000
2,1,1,9600000,29800000,16,499,28500000,6300000,31800000,7400000,0.3221476510067114,66600000
2,0,0,6900000,18200000,20,396,15600000,4300000,22900000,5400000,0.3791208791208791,42800000
3,0,1,6400000,15800000,18,628,6900000,2700000,24800000,5300000,0.4050632911392405,34400000
3,0,1,1700000,4900000,16,591,4700000,1000000,4300000,1400000,0.3469387755102041,10000000
2,1,0,1500000,3800000,4,776,2800000,0,5300000,1400000,0.39473684210526316,8100000
0,0,0,7500000,23000000,14,725,8900000,4800000,20200000,7100000,0.32608695652173914,33900000
1,0,0,5100000,11800000,12,314,14700000,7600000,12400000,4900000,0.4322033898305085,34700000
0,0,1,2200000,8300000,10,585,3600000,1700000,4300000,1900000,0.26506024096385544,9600000
1,1,0,1200000,2700000,14,779,600000,2200000,2400000,600000,0.4444444444444444,5200000
3,1,1,900000,2000000,18,772,2300000,700000,3500000,800000,0.45,6500000
5,1,0,2200000,7200000,10,532,2700000,300000,7500000,1600000,0.3055555555555556,10500000
0,1,0,9800000,29400000,20,618,1200000,14600000,33800000,8300000,0.3333333333333333,49600000
0,0,0,1100000,3300000,10,482,2800000,300000,2900000,1600000,0.3333333333333333,6000000
3,0,0,4900000,11900000,8,612,9700000,1200000,19000000,5800000,0.4117647058823529,29900000
4,0,0,400000,1500000,4,846,300000,0,1600000,600000,0.26666666666666666,1900000
3,1,0,9100000,25600000,12,688,8900000,16300000,27900000,11100000,0.35546875,53100000
3,1,1,1400000,3800000,16,451,3100000,1300000,4300000,1300000,0.3684210526315789,8700000
5,1,1,7300000,23300000,6,622,7100000,11600000,26400000,10500000,0.3133047210300429,45100000
0,0,0,6800000,20800000,20,819,16500000,11900000,26700000,8000000,0.3269230769230769,55100000
4,1,0,2700000,7000000,4,351,1100000,2300000,8300000,2700000,0.38571428571428573,11700000
0,1,0,4000000,12500000,18,868,11000000,800000,14400000,2300000,0.32,26200000
3,1,1,5100000,10400000,18,399,8000000,4300000,20100000,4600000,0.49038461538461536,32400000
1,1,0,3100000,11200000,18,665,2000000,5400000,12000000,2500000,0.2767857142857143,19400000
4,1,0,3600000,7500000,6,894,1100000,6500000,7400000,2800000,0.48,15000000
0,0,1,4800000,13500000,10,319,6800000,8300000,13700000,5100000,0.35555555555555557,28800000
3,1,1,9100000,24600000,2,741,8000000,4000000,35500000,13600000,0.3699186991869919,47500000
1,0,1,7500000,21400000,20,655,13000000,10300000,28100000,8100000,0.35046728971962615,51400000
5,0,0,4600000,14400000,6,785,6500000,6300000,14700000,6200000,0.3194444444444444,27500000
5,0,0,8100000,21900000,18,378,5200000,3400000,16200000,9600000,0.3698630136986301,24800000
0,1,1,3600000,13400000,6,589,3600000,0,11200000,4000000,0.26865671641791045,14800000
1,1,1,500000,1400000,10,883,900000,0,1700000,300000,0.35714285714285715,2600000
1,0,1,2600000,8600000,6,730,800000,2900000,6000000,3100000,0.3023255813953488,9700000
5,0,0,800000,2200000,6,493,900000,500000,2800000,1000000,0.36363636363636365,4200000
2,1,1,2100000,4500000,18,591,2500000,500000,5500000,1500000,0.4666666666666667,8500000
0,0,1,900000,2200000,16,566,100000,700000,2000000,600000,0.4090909090909091,2800000
1,0,0,7000000,27100000,6,591,6700000,12200000,21500000,4900000,0.25830258302583026,40400000
5,0,1,8000000,27200000,6,348,6400000,300000,16700000,7100000,0.29411764705882354,23400000
2,1,0,2900000,7300000,2,776,8300000,3000000,8500000,3400000,0.3972602739726027,19800000
5,1,1,300000,1100000,20,613,600000,400000,700000,200000,0.2727272727272727,1700000
3,1,0,9200000,35500000,2,715,11100000,11800000,19800000,11700000,0.2591549295774648,42700000
0,0,0,8100000,21300000,2,392,14200000,6600000,31500000,11000000,0.38028169014084506,52300000
5,0,1,7700000,24400000,8,453,1400000,7700000,22000000,10000000,0.3155737704918033,31100000
0,0,1,7500000,16800000,16,492,21500000,4800000,25400000,11100000,0.44642857142857145,51700000
4,0,1,3900000,10600000,2,439,300000,7600000,14800000,2500000,0.36792452830188677,22700000
1,1,1,7600000,26000000,6,384,2600000,1200000,20000000,7900000,0.2923076923076923,23800000
4,0,0,5100000,16100000,14,436,11400000,2700000,13100000,6700000,0.3167701863354037,27200000
4,1,1,2300000,7800000,8,540,1500000,3400000,4700000,2800000,0.2948717948717949,9600000
1,1,0,9500000,20000000,16,856,24900000,0,35700000,6200000,0.475,60600000
5,1,0,300000,500000,8,396,400000,300000,1200000,200000,0.6,1900000
2,0,1,4200000,16800000,2,433,3300000,0,14100000,3700000,0.25,17400000
5,0,0,2900000,6700000,14,796,3800000,3700000,9700000,4200000,0.43283582089552236,17200000
3,0,0,6300000,17000000,16,388,11700000,2100000,16100000,3200000,0.37058823529411766,29900000
2,1,0,400000,1500000,4,743,700000,500000,1200000,300000,0.26666666666666666,2400000
3,1,1,900000,2300000,12,900,1300000,0,3300000,1100000,0.391304347826087,4600000
5,1,1,1100000,2800000,10,647,2700000,2000000,4300000,1400000,0.39285714285714285,9000000
5,0,1,3400000,9800000,8,559,3500000,2900000,8300000,2200000,0.3469387755102041,14700000
0,1,0,1500000,4900000,12,651,1600000,2800000,4600000,800000,0.30612244897959184,9000000
5,1,0,3200000,7400000,12,583,9400000,5500000,10600000,3600000,0.43243243243243246,25500000
0,1,0,300000,900000,20,436,0,400000,600000,200000,0.3333333333333333,1000000
2,1,0,6800000,21300000,20,658,7800000,7000000,25900000,9600000,0.3192488262910798,40700000
2,0,0,5200000,17200000,12,565,3500000,1300000,20000000,6300000,0.3023255813953488,24800000
1,1,1,8700000,33800000,18,558,18300000,11500000,31500000,5900000,0.257396449704142,61300000
0,1,1,9600000,23800000,12,788,9900000,14400000,21200000,10400000,0.40336134453781514,45500000
4,0,0,2500000,5400000,10,592,3400000,1500000,9900000,2900000,0.46296296296296297,14800000
5,0,0,9300000,34000000,6,742,4200000,600000,32800000,8200000,0.2735294117647059,37600000
5,0,1,6400000,20000000,12,594,100000,2100000,16500000,5500000,0.32,18700000
5,1,0,7800000,27000000,6,728,4400000,13100000,18500000,7400000,0.28888888888888886,36000000
4,1,0,2800000,8300000,14,352,4900000,2600000,7100000,3700000,0.3373493975903614,14600000
0,0,0,5300000,19500000,12,802,9800000,3300000,15200000,3200000,0.2717948717948718,28300000
1,1,0,9600000,28300000,6,536,18700000,9300000,27300000,6000000,0.3392226148409894,55300000
1,1,1,9500000,28700000,16,526,24600000,4900000,31800000,6600000,0.3310104529616725,61300000
2,1,1,6500000,25100000,20,848,11500000,8600000,17400000,4400000,0.2589641434262948,37500000
0,0,1,3500000,10600000,4,389,8300000,4800000,9100000,2500000,0.330188679245283,22200000
2,1,0,2600000,8400000,6,494,6500000,3800000,5600000,2000000,0.30952380952380953,15900000
4,1,1,400000,1400000,10,665,300000,300000,1500000,200000,0.2857142857142857,2100000
4,1,0,2000000,4800000,8,302,1500000,800000,4000000,2600000,0.4166666666666667,6300000
3,0,1,8500000,30800000,20,448,23000000,1400000,22900000,7900000,0.275974025974026,47300000
2,0,0,4000000,9200000,16,784,3200000,600000,13000000,4900000,0.43478260869565216,16800000
0,0,0,1500000,4300000,12,801,4400000,2200000,3300000,1100000,0.3488372093023256,9900000
2,0,0,4500000,17200000,6,832,2700000,8500000,10900000,6700000,0.2616279069767442,22100000
0,1,1,5500000,16300000,10,724,11900000,1500000,11900000,6200000,0.3374233128834356,25300000
2,0,0,2200000,6800000,20,546,4600000,200000,4500000,2200000,0.3235294117647059,9300000
0,1,0,8200000,20900000,14,766,4400000,12300000,18400000,12100000,0.3923444976076555,35100000
2,1,1,2000000,6700000,14,638,4900000,200000,4900000,2300000,0.29850746268656714,10000000
3,1,1,6000000,18700000,18,783,2800000,8500000,20300000,8800000,0.32085561497326204,31600000
2,1,0,4800000,15800000,20,860,1700000,3300000,13400000,5100000,0.3037974683544304,18400000
0,0,0,7600000,30100000,2,743,20700000,8700000,27600000,9600000,0.25249169435215946,57000000
5,1,0,7700000,20300000,12,806,21300000,13300000,18900000,9600000,0.3793103448275862,53500000
2,0,1,1200000,4600000,20,605,3600000,1500000,4600000,600000,0.2608695652173913,9700000
0,1,0,4700000,11500000,18,559,7500000,0,18700000,2600000,0.40869565217391307,26200000
4,1,0,3500000,10200000,12,333,7600000,6400000,8100000,3400000,0.3431372549019608,22100000
1,1,1,9000000,34000000,16,842,6300000,16900000,22900000,5800000,0.2647058823529412,46100000
5,1,1,9800000,23200000,10,416,11000000,17300000,21600000,8500000,0.4224137931034483,49900000
0,0,0,8800000,30900000,12,729,1700000,700000,25700000,11400000,0.284789644012945,28100000
5,0,1,3400000,11300000,20,871,6500000,3900000,9700000,2400000,0.3008849557522124,20100000
2,0,0,5400000,20600000,18,621,11200000,2200000,11600000,5500000,0.2621359223300971,25000000
1,1,0,4200000,10700000,6,466,7400000,7000000,14000000,4700000,0.3925233644859813,28400000
3,1,1,5200000,15000000,20,432,6900000,5000000,15600000,5100000,0.3466666666666667,27500000
4,0,1,3500000,8900000,4,478,4000000,3900000,11300000,3800000,0.39325842696629215,19200000
4,0,1,6600000,18800000,10,353,16500000,9500000,20000000,6200000,0.35106382978723405,46000000
1,0,1,200000,400000,18,859,300000,100000,400000,200000,0.5,800000
0,1,1,2700000,6800000,20,796,700000,4200000,7000000,1900000,0.39705882352941174,11900000
4,0,0,1400000,3100000,14,575,3000000,2100000,4900000,1400000,0.45161290322580644,10000000
4,0,1,9000000,28900000,6,637,11300000,1200000,33000000,4800000,0.31141868512110726,45500000
1,0,1,6800000,27200000,2,702,4600000,2400000,27100000,6300000,0.25,34100000
4,0,0,8300000,24600000,2,382,1400000,1200000,16700000,6600000,0.33739837398373984,19300000
5,0,1,9000000,31400000,2,677,12000000,10800000,20700000,8700000,0.28662420382165604,43500000
2,0,1,4000000,13000000,10,552,3700000,1600000,15600000,3400000,0.3076923076923077,20900000
5,1,0,3900000,14000000,4,708,700000,1800000,15600000,5200000,0.2785714285714286,18100000
